pitch_type,batter,pitcher,zone,stand,p_throws,type,estimated_woba_using_speedangle
SL,607208,518876,9,R,R,X,0.2
KC,672515,605400,14,R,R,X,0.433
FF,514888,571760,3,R,L,X,0.237
FF,673237,571760,5,R,L,X,0.561
FF,641680,592773,6,L,R,X,0.028
FF,608671,592773,3,L,R,X,0.268
FF,666969,592773,2,R,R,X,1.444
SL,543760,606160,9,R,R,X,0.708
CH,665750,606160,13,L,R,X,0.051
FC,643289,600917,14,R,R,X,0.386
CU,547989,622250,8,R,R,X,0.609
FF,641680,650556,6,L,R,X,0.68
SL,641598,650556,6,R,R,X,0.494
FC,514888,543135,12,R,R,X,0.898
CU,455117,543135,6,R,R,X,0.393
FS,608369,593576,5,L,R,X,0.65
FF,543760,593576,6,R,R,X,0.903
FS,665750,593576,7,L,R,X,0.019
FS,663993,593576,8,L,R,X,0.112
FS,665161,543135,8,R,R,X,0.333
FF,643289,543135,12,R,R,X,0.13
FC,663656,543135,14,L,R,X,0.048
FF,547989,543135,4,R,R,X,0.09
FF,670541,543135,5,L,R,X,0.65
CU,641680,664208,9,L,R,X,0.156
ST,641598,664208,8,R,R,X,0.007
FC,608324,543135,5,R,R,X,0.003
FF,514888,543135,1,R,R,X,0.003
SI,608369,664285,6,L,L,X,0.591
CU,665750,664285,8,R,L,X,0.4
CU,665161,543135,7,R,R,X,0.341
FF,643289,543135,2,R,R,X,0.425
CU,663656,543135,7,L,R,X,0.003
SI,663993,664285,8,L,L,X,0.173
CH,641680,664285,3,R,L,X,0.216
CU,641598,664285,14,R,L,X,0.2
CH,543257,664285,5,R,L,X,1.128
CU,547989,543135,14,R,R,X,0.309
FF,514888,543135,1,R,R,X,0.916
CU,543760,664285,6,R,L,X,0.003
SI,665750,664285,8,R,L,X,0.152
FF,455117,543135,5,R,R,X,0.024
FF,643289,543135,11,R,R,X,0.166
CU,673962,664285,6,R,L,X,0.23
CU,663993,664285,12,L,L,X,0.876
CU,641680,664285,9,R,L,X,0.198
SI,641598,664285,6,R,L,X,1.125
CU,547989,543135,14,R,R,X,0.486
FC,670541,543135,12,L,R,X,0.856
FS,608324,543135,4,R,R,X,0.039
FF,514888,543135,3,R,R,X,0.555
SI,608369,664285,12,L,L,X,0.0
FF,672695,622554,4,L,R,X,0.212
FF,666971,622554,2,R,R,X,0.485
FF,656941,677944,5,L,R,X,0.57
FS,656976,656546,2,L,R,X,0.411
SL,572233,656546,5,R,R,X,0.248
FS,606466,656546,9,L,R,X,0.531
FF,592206,666818,14,R,R,X,0.05
FC,592663,666818,1,R,R,X,0.471
CH,664761,573009,5,R,L,X,0.248
SI,547180,573009,7,L,L,X,0.173
FF,682998,554430,12,L,R,X,0.008
FF,672695,554430,2,L,R,X,0.395
ST,677950,554430,6,L,R,X,1.113
SL,607208,612434,8,R,R,X,0.247
CH,669016,612434,13,L,R,X,0.049
FF,666971,554430,3,R,R,X,0.641
ST,572233,554430,7,R,R,X,0.615
FF,592663,668678,5,R,R,X,0.269
